Zscore	Pvalue	Cell	Tissue	Datatype	File	Probe	Accession	Qvalue
-2.652	1.00e+00	E100 Psoas Muscle	Psoas Muscle	H3K9me3	E100-H3K9me3.broadPeak.gz		E100	1.00e+00
-0.492	7.64e-01	E100 Psoas Muscle	Psoas Muscle	H3K27me3	E100-H3K27me3.broadPeak.gz	cg02161503,cg12136608	E100	1.00e+00
-0.750	7.14e-01	E100 Psoas Muscle	Psoas Muscle	H3K36me3	E100-H3K36me3.broadPeak.gz	cg03049340	E100	1.00e+00
-0.604	8.39e-01	E055 Foreskin Fibroblast Primary Cells skin01	Skin	H3K4me1	E055-H3K4me1.broadPeak.gz	cg03049340,cg07295964,cg10375300,cg12136608	E055	1.00e+00
-0.925	8.84e-01	E055 Foreskin Fibroblast Primary Cells skin01	Skin	H3K4me3	E055-H3K4me3.broadPeak.gz	cg07295964,cg10375300,cg12136608	E055	1.00e+00
1.171	1.96e-01	E055 Foreskin Fibroblast Primary Cells skin01	Skin	H3K9me3	E055-H3K9me3.broadPeak.gz	cg02161503,cg07295964,cg12136608	E055	1.00e+00
0.192	5.80e-01	E055 Foreskin Fibroblast Primary Cells skin01	Skin	H3K27me3	E055-H3K27me3.broadPeak.gz	cg03049340,cg07295964,cg12136608,cg19880901	E055	1.00e+00
-1.276	9.37e-01	E055 Foreskin Fibroblast Primary Cells skin01	Skin	H3K36me3	E055-H3K36me3.broadPeak.gz	cg03049340,cg07295964	E055	1.00e+00
-2.090	9.88e-01	E056 Foreskin Fibroblast Primary Cells skin02	Skin	H3K4me1	E056-H3K4me1.broadPeak.gz	cg03049340,cg07295964,cg10375300	E056	1.00e+00
-1.500	9.56e-01	E056 Foreskin Fibroblast Primary Cells skin02	Skin	H3K4me3	E056-H3K4me3.broadPeak.gz	cg07295964,cg10375300,cg12136608	E056	1.00e+00
1.192	1.88e-01	E056 Foreskin Fibroblast Primary Cells skin02	Skin	H3K9me3	E056-H3K9me3.broadPeak.gz	cg02161503,cg07295964,cg12136608	E056	1.00e+00
-0.062	6.74e-01	E056 Foreskin Fibroblast Primary Cells skin02	Skin	H3K27me3	E056-H3K27me3.broadPeak.gz	cg03049340,cg07295964,cg12136608,cg19880901	E056	1.00e+00
-1.778	9.83e-01	E056 Foreskin Fibroblast Primary Cells skin02	Skin	H3K36me3	E056-H3K36me3.broadPeak.gz	cg02161503,cg03049340	E056	1.00e+00
-0.328	7.39e-01	E057 Foreskin Keratinocyte Primary Cells skin02	Skin	H3K4me1	E057-H3K4me1.broadPeak.gz	cg07295964,cg10375300,cg12136608	E057	1.00e+00
-0.074	6.63e-01	E057 Foreskin Keratinocyte Primary Cells skin02	Skin	H3K4me3	E057-H3K4me3.broadPeak.gz	cg07295964,cg10375300,cg12136608	E057	1.00e+00
0.002	5.58e-01	E057 Foreskin Keratinocyte Primary Cells skin02	Skin	H3K9me3	E057-H3K9me3.broadPeak.gz	cg02161503,cg19880901	E057	1.00e+00
0.933	3.13e-01	E057 Foreskin Keratinocyte Primary Cells skin02	Skin	H3K27me3	E057-H3K27me3.broadPeak.gz	cg03049340,cg07295964,cg12136608,cg19880901	E057	1.00e+00
-1.167	8.95e-01	E057 Foreskin Keratinocyte Primary Cells skin02	Skin	H3K36me3	E057-H3K36me3.broadPeak.gz	cg10375300	E057	1.00e+00
-1.001	9.15e-01	E059 Foreskin Melanocyte Primary Cells skin01	Skin	H3K4me1	E059-H3K4me1.broadPeak.gz	cg03049340,cg07295964,cg12136608	E059	1.00e+00
-1.082	9.13e-01	E059 Foreskin Melanocyte Primary Cells skin01	Skin	H3K4me3	E059-H3K4me3.broadPeak.gz	cg03049340,cg07295964,cg12136608	E059	1.00e+00
-0.389	7.37e-01	E059 Foreskin Melanocyte Primary Cells skin01	Skin	H3K9me3	E059-H3K9me3.broadPeak.gz	cg02161503,cg07295964	E059	1.00e+00
0.611	4.04e-01	E059 Foreskin Melanocyte Primary Cells skin01	Skin	H3K27me3	E059-H3K27me3.broadPeak.gz	cg03049340,cg07295964,cg12136608,cg19880901	E059	1.00e+00
-0.066	6.53e-01	E059 Foreskin Melanocyte Primary Cells skin01	Skin	H3K36me3	E059-H3K36me3.broadPeak.gz	cg02161503,cg03049340,cg07295964	E059	1.00e+00
-0.407	7.72e-01	E109 Small Intestine	Small Intestine	H3K4me1	E109-H3K4me1.broadPeak.gz	cg07295964,cg10375300,cg12136608	E109	1.00e+00
-1.385	9.55e-01	E109 Small Intestine	Small Intestine	H3K4me3	E109-H3K4me3.broadPeak.gz	cg02161503,cg12136608	E109	1.00e+00
1.241	1.76e-01	E109 Small Intestine	Small Intestine	H3K9me3	E109-H3K9me3.broadPeak.gz	cg10375300,cg12136608,cg19880901	E109	1.00e+00
-0.582	7.92e-01	E109 Small Intestine	Small Intestine	H3K27me3	E109-H3K27me3.broadPeak.gz	cg07295964,cg12136608	E109	1.00e+00
-0.203	6.56e-01	E109 Small Intestine	Small Intestine	H3K36me3	E109-H3K36me3.broadPeak.gz	cg03049340,cg10375300	E109	1.00e+00
